id,name,category,effect_type,param1,param2,effect_text
A1-216,Helix Fossil,Item,summon_fossil_pokemon,40,Omanyte,"Play this card as if it were a 40-HP Basic {C} Pokémon. At any time during your turn, you may discard this card from play. This card can't retreat."
A1-217,Dome Fossil,Item,summon_fossil_pokemon,40,Kabuto,"Play this card as if it were a 40-HP Basic {C} Pokémon. At any time during your turn, you may discard this card from play. This card can't retreat."
A1-218,Old Amber,Item,summon_fossil_pokemon,40,Aerodactyl,"Play this card as if it were a 40-HP Basic {C} Pokémon. At any time during your turn, you may discard this card from play. This card can't retreat."
A1-219,Erika,Supporter,heal_type,50,grass,Heal 50 damage from 1 of your {G} Pokémon.
A1-220,Misty,Supporter,flip_attach_energy,water,until_tails,"Choose 1 of your {W} Pokémon and flip a coin until you get tails. For each heads, take a {W} Energy from your Energy Zone and attach it to that Pokémon."
A1-221,Blaine,Supporter,boost_damage_type_targets,30,"Ninetales,Rapidash,Magmar","During this turn, attacks used by your Ninetales, Rapidash, or Magmar do +30 damage to your opponent's Active Pokémon."
A1-222,Koga,Supporter,return_active_to_hand,,"Muk,Weezing",Put your Muk or Weezing in the Active Spot into your hand.
A1-223,Giovanni,Supporter,boost_all_damage,10,,"During this turn, attacks used by your Pokémon do +10 damage to your opponent's Active Pokémon."
A1-224,Brock,Supporter,attach_energy_to_targets,fighting,"Golem,Onix",Take 1 {F} Energy from your Energy Zone and attach it to your Golem or Onix.
A1-225,Sabrina,Supporter,force_opponent_switch,,,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
A1-226,Lt. Surge,Supporter,move_all_energy_type,lightning,"Raichu,Electrode,Electabuzz","Move all {L} Energy from your Benched Pokémon to your Raichu, Electrode, or Electabuzz in the Active Spot."
P-A-001,Potion,Item,heal,20,,Heal 20 damage from 1 of your Pokémon.
P-A-002,X Speed,Item,reduce_retreat_cost,1,,"During this turn, your Active Pokémon's Retreat Cost is reduced by 1."
P-A-003,Hand Scope,Item,reveal_opponent_hand,,,Your opponent reveals their hand.
P-A-004,Pokédex,Item,view_top_deck,3,,Look at the top 3 cards of your deck.
P-A-005,Poké Ball,Item,search_basic_pokemon,basic,,Put a random Basic Pokémon from your deck into your hand.
P-A-006,Red Card,Item,shuffle_opponent_hand_draw,3,,Your opponent shuffles their hand into their deck and draws 3 cards.
P-A-007,Professor's Research,Supporter,draw_cards,2,,Draw 2 cards.
A1a-063,Old Amber,Item,summon_fossil_pokemon,40,Aerodactyl,"Play this card as if it were a 40-HP Basic {C} Pokémon. At any time during your turn, you may discard this card from play. This card can't retreat."
A1a-064,Pokémon Flute,Item,revive_opponent_pokemon,basic,,Put a Basic Pokémon from your opponent's discard pile onto their Bench.
A1a-065,Mythical Slab,Item,peek_topdeck_type,psychic,hand_or_bottom,"Look at the top card of your deck. If that card is a {P} Pokémon, put it into your hand. If it is not a {P} Pokémon, put it on the bottom of your deck."
A1a-066,Budding Expeditioner,Supporter,return_active_to_hand,,Mew ex,Put your Mew ex in the Active Spot into your hand.
A1a-067,Blue,Supporter,reduce_all_incoming_damage_next_turn,10,,"During your opponent's next turn, all of your Pokémon take −10 damage from attacks from your opponent's Pokémon."
A1a-068,Leaf,Supporter,reduce_retreat_cost,2,,"During this turn, the Retreat Cost of your Active Pokémon is 2 less."
A1a-080,Budding Expeditioner,Supporter,return_active_to_hand,,Mew ex,Put your Mew ex in the Active Spot into your hand.
A1a-081,Blue,Supporter,reduce_all_incoming_damage_next_turn,10,,"During your opponent's next turn, all of your Pokémon take −10 damage from attacks from your opponent's Pokémon."
A1a-082,Leaf,Supporter,reduce_retreat_cost,2,,"During this turn, the Retreat Cost of your Active Pokémon is 2 less."
A1-266,Erika,Supporter,heal_type,50,grass,Heal 50 damage from 1 of your {G} Pokémon.
A1-267,Misty,Supporter,flip_attach_energy,water,until_tails,"Choose 1 of your {W} Pokémon, and flip a coin until you get tails. For each heads, take a {W} Energy from your Energy Zone and attach it to that Pokémon."
A1-268,Blaine,Supporter,boost_damage_type_targets,30,"Ninetales,Rapidash,Magmar","During this turn, attacks used by your Ninetales, Rapidash, or Magmar do +30 damage to your opponent's Active Pokémon."
A1-269,Koga,Supporter,return_active_to_hand,,"Muk,Weezing",Put your Muk or Weezing in the Active Spot into your hand.
A1-270,Giovanni,Supporter,boost_all_damage,10,,"During this turn, attacks used by your Pokémon do +10 damage to your opponent's Active Pokémon."
A1-271,Brock,Supporter,attach_energy_to_targets,fighting,"Golem,Onix",Take 1 {F} Energy from your Energy Zone and attach it to your Golem or Onix.
A1-272,Sabrina,Supporter,force_opponent_switch,,,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
A1-273,Lt. Surge,Supporter,move_all_energy_type,lightning,"Raichu,Electrode,Electabuzz","Move all {L} Energy from your Benched Pokémon to your Raichu, Electrode, or Electabuzz in the Active Spot."
A2-144,Skull Fossil,Item,summon_fossil_pokemon,40,Cranidos,"Play this card as if it were a 40-HP Basic {C} Pokémon. At any time during your turn, you may discard this card from play. This card can't retreat."
A2-145,Armor Fossil,Item,summon_fossil_pokemon,40,Shieldon,"Play this card as if it were a 40-HP Basic {C} Pokémon. At any time during your turn, you may discard this card from play. This card can't retreat."
A2-146,Pokémon Communication,Item,switch_card_in_hand_with_deck,pokemon,,Choose a Pokémon in your hand and switch it with a random Pokémon in your deck.
A2-147,Giant Cape,Tool,increase_max_hp,20,,The Pokémon this card is attached to gets +20 HP.
A2-148,Rocky Helmet,Tool,counter_on_hit_tool,20,,"If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokémon, do 20 damage to the Attacking Pokémon."
A2-149,Lum Berry,Tool,cure_status_end_of_turn,,,"At the end of each turn, if the Pokémon this card is attached to is affected by any Special Conditions, it recovers from all of them, and discard this card."
A2-150,Cyrus,Supporter,force_switch_damaged_bench,,,Switch in 1 of your opponent's Benched Pokémon that has damage on it to the Active Spot.
